#{"t_start": 1767352371.3293087, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,2377,3.016541
360.0,3233,3.96562
235.0,2675,4.714323
110.0,2219,5.363783
155.0,2083,5.97558
140.0,1855,6.509828
10.0,1481,7.035449
10.0,1675,7.552815
180.0,2037,8.12787
105.0,1925,8.718727
210.0,2421,9.406235
65.0,1523,9.872816
45.0,1061,10.170735
75.0,1213,10.520742
120.0,2159,11.155819
60.0,1683,11.628834
120.0,2417,12.347707
155.0,1709,12.863638
105.0,1983,13.459976
60.0,1479,13.877748
285.0,2427,14.585123
20.0,1723,15.136487
45.0,1769,15.656811
125.0,1749,16.177917
170.0,2119,16.834536
295.0,3098,17.829456
125.0,2489,18.56082
125.0,2103,19.260802
110.0,2029,19.926409
110.0,2041,20.513835
180.0,2107,21.135373
405.0,2955,21.978411
155.0,1991,22.56055
135.0,1829,23.183664
60.0,1949,23.765971
155.0,2355,24.447659
55.0,1217,24.819324
380.0,3761,25.907894
50.0,1547,26.442376
80.0,2037,27.174377
120.0,1861,27.843778
80.0,1939,28.584595
105.0,1923,29.259749
65.0,1165,29.667933
210.0,1945,30.250898
20.0,1475,30.665158
165.0,2291,31.338163
165.0,2305,31.984695
50.0,1689,32.543828
135.0,2261,33.195113
80.0,1619,39.58859
180.0,1961,40.480242
120.0,1941,41.281399
85.0,1525,42.234438
80.0,2083,42.960251
75.0,1173,43.409903
265.0,2917,44.444722
70.0,1161,44.800152
10.0,1381,45.18858
355.0,2129,45.828843
155.0,2143,46.522341
135.0,1369,46.915825
135.0,2373,47.741821
170.0,2167,48.360105
145.0,2109,48.971406
105.0,2031,49.56211
105.0,3157,50.454113
210.0,2183,51.08903
575.0,4387,52.318873
45.0,1347,52.707876
50.0,1183,53.064723
410.0,4585,54.355817
400.0,2899,55.524548
80.0,1823,56.069111
105.0,1465,56.560906
155.0,2101,57.293407
105.0,1169,57.69546
210.0,1865,58.335564
160.0,2421,59.168919
50.0,1221,59.581203
85.0,1591,60.103176
50.0,1465,60.523479
285.0,3079,61.424553
140.0,2485,62.12211
180.0,1819,62.655291
235.0,2633,63.501265
80.0,1811,64.039852
55.0,1175,64.369791
185.0,2553,65.121811
260.0,2373,66.068938
35.0,1603,66.738139
195.0,2225,67.367196
155.0,1927,68.182233
45.0,1551,68.755301
205.0,2885,69.781221
110.0,2231,70.416133
155.0,2301,71.0813
75.0,1571,71.544943
380.0,3319,72.521955
65.0,1487,78.751476
135.0,2063,79.345514
80.0,2129,80.098825
110.0,2061,80.686313
150.0,2109,81.298104
120.0,2389,81.970657
215.0,2835,82.800347
135.0,2145,83.75556
240.0,2831,84.634111
110.0,2127,85.262378
135.0,1689,85.746176
120.0,2025,86.346206
150.0,3415,87.525599
215.0,2777,88.803669
75.0,1647,89.291441
300.0,3281,90.21452
110.0,2427,90.92218
180.0,2591,91.671468
130.0,1571,92.136383
105.0,1781,92.645032
50.0,1437,93.074746
135.0,1865,93.608016
45.0,1219,93.962307
230.0,2437,94.679971
60.0,1873,95.322648
60.0,1891,95.884281
210.0,2309,96.612661
30.0,1477,97.040257
120.0,1509,97.472372
60.0,1535,97.941618
435.0,3251,98.857189
140.0,1773,99.435081
305.0,3787,100.836394
180.0,2069,101.423655
15.0,1199,101.791964
110.0,1849,102.333143
65.0,1157,102.659143
240.0,2409,103.363574
230.0,2877,104.200011
155.0,2419,104.889241
45.0,1541,105.367829
295.0,3425,106.350873
210.0,2855,107.18584
195.0,2029,107.781594
105.0,1915,108.328257
135.0,2321,109.252452
75.0,1831,109.778011
70.0,1737,117.544261
110.0,1623,118.017958
60.0,1405,118.416004
65.0,1167,118.890927
105.0,1491,119.334178
110.0,1473,119.759871
75.0,1435,120.204344
155.0,1799,120.738229
15.0,1553,121.187154
485.0,3231,122.150304
150.0,2815,123.28988
60.0,1187,123.7566
80.0,1833,124.380792
105.0,1983,124.943207
70.0,1613,125.434474
85.0,1391,125.842012
85.0,1493,126.270923
60.0,1181,126.681149
485.0,2787,127.577955
55.0,1147,127.967218
215.0,2503,128.686362
95.0,2293,129.379864
65.0,1141,129.706934
120.0,1861,130.227199
150.0,2387,131.057027
210.0,1907,131.637867
120.0,1493,132.089188
515.0,3971,133.2152
210.0,2593,134.25805
50.0,1151,134.60919
30.0,1155,134.939403
100.0,1849,135.460265
210.0,2313,136.144701
120.0,1937,136.682964
75.0,1129,137.036843
640.0,3957,138.141448
90.0,1583,138.580458
70.0,1501,139.015763
215.0,2691,139.950965
110.0,2297,140.62912
20.0,1179,140.964163
210.0,2633,141.798032
120.0,1925,142.526929
80.0,1235,142.919467
150.0,2029,143.527881
180.0,2265,144.163245
155.0,2087,144.85886
185.0,2177,145.578558
175.0,2029,146.500636
145.0,1797,147.028219
355.0,2413,147.738079
130.0,2255,148.394946
50.0,1603,148.853514
155.0,2097,159.148527
175.0,3929,174.040833
390.0,4547,192.522701
190.0,2781,203.551017
5.0,1143,208.311932
105.0,1963,215.511414
90.0,1913,222.808172
80.0,2815,232.762588
645.0,4943,249.849861
40.0,1971,257.124014
185.0,3709,270.568098
125.0,2781,281.644319
185.0,3355,299.07097
45.0,1923,307.95359
295.0,3655,323.506212
120.0,2889,336.023689
310.0,3849,352.789458
50.0,1969,360.725998
125.0,2469,369.699689
190.0,2797,379.570288
340.0,3009,396.942881
115.0,2901,409.344833
200.0,3421,423.867508
315.0,3743,438.260682
330.0,3132,451.12177
155.0,2595,461.090355
210.0,3350,473.572227
110.0,2589,484.286983
290.0,3779,502.226717
110.0,2005,509.545081
90.0,1907,516.628469
110.0,1535,522.63547
130.0,2999,533.448383
240.0,3225,545.350505
110.0,2009,553.443623
390.0,3809,567.435544
420.0,3797,591.794273
200.0,3227,604.339095
210.0,3141,616.045264
80.0,1925,623.372543
175.0,3891,638.031573
295.0,3673,652.265088
125.0,2097,659.84978
145.0,1939,667.650795
585.0,4039,682.302417
10.0,1457,687.498617
105.0,1687,693.469377
30.0,1441,698.637506
390.0,3293,712.48264
365.0,3865,726.645983
195.0,2881,737.112138
295.0,3348,751.701697
85.0,1157,762.793292
110.0,2023,777.932685
110.0,2407,788.596359
55.0,1065,793.139961
350.0,3313,809.594242
505.0,4379,827.782618
185.0,2267,837.116923
30.0,1015,841.176689
240.0,2451,851.242525
255.0,2733,862.44278
265.0,2755,874.754303
165.0,2729,885.988757
225.0,2203,894.896037
120.0,1995,903.919988
390.0,4399,927.92898
50.0,1893,935.601018
240.0,1985,943.616089
150.0,2027,952.26471
100.0,1905,959.950316
275.0,3877,978.803757
330.0,3139,992.43347
465.0,3723,1009.549552
470.0,2535,1032.88535
50.0,1523,1039.06827
300.0,2965,1052.926005
205.0,3249,1067.210387
190.0,2193,1076.427811
465.0,4813,1096.842645
500.0,2867,1113.96105
295.0,2625,1135.74696
35.0,1559,1146.998324
250.0,3975,1164.827094
175.0,1969,1173.164448
390.0,3319,1187.399595
160.0,2913,1200.301226
115.0,1427,1206.529113
170.0,1641,1213.830401
105.0,1515,1221.217997
460.0,2707,1232.522198
190.0,2941,1246.773741
200.0,2041,1255.333788
120.0,1579,1262.602035
175.0,2021,1273.962828
165.0,2125,1283.227988
260.0,2947,1295.889163
225.0,2687,1307.343502
125.0,1935,1315.497575
275.0,2771,1332.618681
230.0,3367,1360.233928
370.0,2103,1368.990741
590.0,3619,1383.653747
605.0,3739,1398.878734
285.0,2659,1409.74826
260.0,2453,1419.666976
230.0,2775,1431.30368
160.0,1865,1438.752471
220.0,2863,1450.296689
300.0,3187,1463.581475
290.0,4587,1483.151687
120.0,2139,1491.816462
100.0,2019,1500.501504
300.0,2769,1523.846177
305.0,3563,1541.631895
195.0,1979,1551.865259
265.0,3575,1567.126696
195.0,2497,1577.800946
240.0,3395,1591.973835
270.0,2761,1603.939732
205.0,2895,1619.350776
260.0,2759,1631.084475
240.0,2511,1641.455065
155.0,2745,1653.303342
95.0,1889,1661.174028
170.0,2875,1673.282392
85.0,1927,1680.387414
285.0,3235,1693.000872
255.0,2545,1705.251383
475.0,2735,1716.030574
75.0,1063,1720.178922
165.0,2949,1731.600583
135.0,1847,1739.388313
200.0,2375,1749.989844
290.0,3861,1765.258234
330.0,3709,1782.113273
30.0,1035,1787.940592
115.0,1555,1794.236299
205.0,2321,1804.205201
110.0,1607,1810.301295
235.0,3433,1824.091216
225.0,1771,1830.975017
35.0,1099,1835.14015
120.0,1485,1841.40978
265.0,2629,1856.354786
75.0,1957,1864.405506
230.0,2247,1873.460931
200.0,2917,1884.829553
235.0,2325,1893.639155
240.0,2031,1901.310723
295.0,5499,1922.692786
260.0,2695,1932.761755
655.0,4399,1954.383463
195.0,1971,1961.778265
195.0,2155,1970.570239
310.0,3501,1983.537455
520.0,3015,1995.601851
180.0,1485,2001.065094
250.0,2139,2008.912624
660.0,3705,2023.547431
80.0,1203,2027.930098
90.0,1563,2033.69895
290.0,2151,2041.832616
150.0,1393,2047.133969
325.0,3643,2061.076753
470.0,3447,2074.247777
135.0,1525,2080.376312
55.0,1197,2084.82532
145.0,1969,2092.352858
145.0,2693,2103.773228
80.0,1643,2109.880166
230.0,2143,2118.076797
225.0,2321,2126.742701
350.0,3091,2138.317167
275.0,2955,2149.25963
295.0,2767,2159.515113
50.0,1131,2163.642805
245.0,2977,2174.726042
335.0,3287,2187.054029
250.0,1895,2194.336076
265.0,2207,2203.49135
160.0,2091,2211.768223
190.0,1961,2219.120446
230.0,2037,2226.861206
140.0,1725,2233.754193
400.0,3067,2245.666164
255.0,2399,2254.812047
300.0,3099,2266.801599
305.0,2927,2278.107837
285.0,2353,2287.1442
75.0,1085,2291.117999
485.0,2899,2302.36079
55.0,1065,2306.37415
5.0,1021,2310.123734
175.0,2001,2318.575084
400.0,3441,2333.012951
350.0,4087,2357.14374
130.0,1693,2363.484571
185.0,2065,2371.408474
270.0,2427,2380.653179
235.0,2121,2388.71649
330.0,3271,2401.163844
55.0,1057,2405.49923
65.0,1115,2409.736939
205.0,2773,2421.273613
190.0,1909,2428.59138
110.0,1795,2435.509974
295.0,3447,2449.799057
110.0,1999,2457.540541
145.0,1585,2463.677781
190.0,2291,2472.450857
100.0,1681,2478.872457
225.0,2617,2488.869245
200.0,2531,2498.91529
15.0,949,2502.349284
290.0,2549,2514.014556
125.0,1269,2518.716542
390.0,3035,2530.215229
235.0,2555,2539.771594
35.0,921,2543.471187
200.0,1919,2551.772938
185.0,1969,2559.361706
125.0,2129,2567.459923
230.0,1889,2574.931044
105.0,1499,2580.607553
110.0,2245,2589.123446
365.0,2865,2600.143294
100.0,1279,2605.429909
295.0,2199,2613.967149
290.0,3193,2626.517981
75.0,1067,2630.553261
195.0,1631,2636.959284
60.0,1107,2641.225021
55.0,1115,2645.584748
75.0,1381,2650.869304
135.0,1713,2657.424162
105.0,1123,2661.708641
140.0,1847,2668.768209
65.0,1249,2673.513909
165.0,1953,2680.957858
405.0,1963,2688.474658
450.0,2435,2697.679332
205.0,2269,2706.823187
230.0,1973,2714.23418
100.0,1081,2718.459522
185.0,2251,2727.145396
120.0,1273,2735.399218
190.0,1937,2746.925873
275.0,2511,2765.007511
70.0,995,2768.874514
245.0,1715,2775.412798
70.0,1485,2781.290987
240.0,2837,2792.413809
225.0,1817,2799.544495
30.0,1381,2805.01841
130.0,1043,2809.060001
110.0,1129,2813.414524
185.0,1605,2819.793824
120.0,1547,2825.819757
130.0,1107,2830.142525
580.0,2831,2841.263375
85.0,1003,2845.1359
305.0,2351,2854.933114
55.0,1709,2861.598437
295.0,2531,2871.606284
105.0,1387,2878.61272
150.0,1291,2884.64887
255.0,1705,2891.529694
160.0,1809,2898.645103
280.0,2273,2907.804226
185.0,2005,2915.648464
335.0,2547,2925.904265
200.0,1543,2931.990563
175.0,2069,2940.143015
135.0,1049,2944.299317
255.0,2153,2952.908818
210.0,2015,2961.269852
105.0,1003,2965.142746
200.0,1877,2972.704755
135.0,1625,2979.347749
130.0,1049,2984.097506
200.0,1355,2989.344544
130.0,1045,2993.426151
130.0,1043,2997.707336
115.0,2003,3008.134764
110.0,1041,3012.214512
130.0,1719,3019.57343
140.0,1973,3027.362184
325.0,2579,3038.17021
105.0,2171,3047.549523
260.0,2453,3057.566727
170.0,2317,3066.748416
165.0,2201,3076.331963
110.0,2519,3087.008681
210.0,2707,3099.136222
385.0,2423,3111.027858
300.0,3513,3125.358006
260.0,2583,3135.950035
210.0,2473,3145.707929
460.0,2339,3155.024972
105.0,2223,3163.873508
135.0,2415,3173.410757
105.0,1069,3177.540693
270.0,2949,3198.414008
210.0,2437,3207.944706
230.0,2461,3217.569802
115.0,1043,3221.634276
210.0,1543,3227.752762
200.0,2069,3236.082671
130.0,1043,3240.046925
205.0,1721,3246.838639
190.0,2805,3258.261626
275.0,2605,3268.840781
100.0,2291,3278.738891
350.0,3099,3291.211925
185.0,2515,3301.267576
485.0,3149,3314.207369
85.0,1771,3321.926214
170.0,1371,3328.47012
85.0,1291,3333.906558
280.0,2449,3347.49566
275.0,2597,3357.920513
205.0,1619,3364.343147
270.0,2663,3375.185941
135.0,1235,3380.011896
475.0,3735,3395.322018
220.0,2509,3406.526299
170.0,1891,3414.544509
175.0,1473,3426.150057
285.0,3403,3444.485798
160.0,1521,3453.388779
240.0,2261,3464.920349
325.0,2883,3478.382795
215.0,1557,3486.003123
15.0,1083,3490.866808
255.0,2943,3503.00669
225.0,2091,3511.540198
140.0,1561,3518.064552
65.0,1273,3523.390375
165.0,1343,3528.961914
25.0,1079,3534.230486
380.0,3171,3547.355669
160.0,1751,3554.528247
95.0,1161,3559.203104
140.0,2049,3568.83301
65.0,969,3572.691921
135.0,1661,3579.569967
310.0,2453,3589.654484
155.0,2201,3598.578043
195.0,1303,3603.925086
80.0,1127,3609.416322
80.0,2009,3618.199655
110.0,1587,3624.69319
150.0,1415,3630.350256
190.0,2017,3648.996629
245.0,2833,3660.305374
195.0,1511,3666.378759
415.0,2365,3676.013352
115.0,1457,3681.919558
15.0,937,3685.651367
180.0,1907,3693.464448
175.0,1363,3699.771424
395.0,2875,3711.929839
520.0,3556,3726.817789
100.0,1427,3733.293774
245.0,2811,3745.14331
120.0,1721,3752.30646
185.0,3351,3767.013801
110.0,1395,3772.60494
175.0,1965,3780.686241
60.0,1449,3786.521509
245.0,2487,3796.90619
155.0,1845,3804.405452
320.0,3087,3817.542255
295.0,3227,3831.348627
200.0,3311,3844.593
175.0,2017,3852.726046
415.0,2953,3864.764158
380.0,4111,3881.728576
295.0,2563,3892.188405
275.0,2573,3902.569336
315.0,2853,3916.454877
205.0,1863,3924.172563
60.0,1183,3929.987903
405.0,3333,3943.784927
245.0,1883,3951.562422
200.0,2849,3963.286425
235.0,3271,3976.700312
360.0,2565,3987.018109
235.0,1961,3994.980822
260.0,3317,4009.496971
375.0,1991,4017.524272
205.0,2177,4026.405456
280.0,3157,4039.28141
455.0,2515,4049.470402
285.0,3135,4062.493877
215.0,2087,4070.908128
220.0,2087,4093.521681
485.0,3143,4106.434037
340.0,2773,4117.894916
330.0,2863,4129.698519
265.0,2201,4138.989127
105.0,1101,4143.472897
115.0,2159,4153.431185
165.0,2011,4161.758197
255.0,2483,4171.878177
270.0,3003,4184.120545
250.0,2587,4194.567265
180.0,3689,4209.609284
190.0,3215,4223.311302
340.0,2289,4232.621724
195.0,2355,4242.620225
135.0,1689,4249.474576
235.0,2719,4260.57151
155.0,2069,4268.976489
275.0,3389,4282.995919
490.0,4367,4304.857152
195.0,2009,4313.809192
170.0,2079,4323.816149
90.0,1285,4329.159935
365.0,3029,4341.900348
145.0,2161,4350.790826
460.0,2565,4361.44914
235.0,3355,4375.226144
195.0,1585,4381.664827
345.0,3349,4395.343672
210.0,3011,4407.923187
110.0,3459,4422.404145
345.0,3081,4435.037756
275.0,3003,4447.453054
420.0,3969,4463.943825
275.0,2591,4474.734371
205.0,1737,4481.916732
305.0,2193,4491.065919
260.0,2417,4501.144812
210.0,2521,4511.61736
160.0,3153,4534.673105
310.0,2609,4545.424222
410.0,3389,4559.251778
295.0,2427,4570.83033
170.0,1821,4578.563064
155.0,1793,4585.850774
190.0,2849,4597.655918
195.0,2105,4606.385796
345.0,2831,4618.126713
225.0,1975,4626.369988
150.0,1545,4632.771977
225.0,2359,4642.629666
220.0,3157,4655.912068
275.0,2819,4667.44011
230.0,2849,4679.022166
200.0,1985,4687.185428
330.0,3063,4699.721715
230.0,2497,4710.067748
265.0,2015,4718.493361
170.0,1313,4725.301404
195.0,2371,4735.095444
230.0,1761,4742.301981
240.0,2059,4750.889758
235.0,3543,4765.804486
275.0,3445,4780.298533
165.0,1891,4788.119231
175.0,2053,4796.56193
330.0,2877,4808.362127
265.0,2261,4819.023435
350.0,2355,4828.702162
160.0,2035,4838.012136
95.0,1545,4846.649356
165.0,1559,4853.216994
250.0,2771,4865.974089
90.0,1403,4873.575246
555.0,4857,4894.656811
395.0,2701,4905.512055
290.0,4233,4922.956973
285.0,3089,4935.72288
115.0,1949,4943.579432
325.0,3151,4956.210145
220.0,1845,4970.296658
240.0,2043,4978.604796
285.0,3344,4993.602675
210.0,1915,5002.377157
105.0,2045,5011.582242
110.0,1709,5020.232551
185.0,1751,5028.879294
125.0,1361,5034.938076
240.0,2716,5056.902611
185.0,2413,5078.00154
70.0,1423,5090.527984
145.0,2005,5107.972162
500.0,3119,5130.487195
280.0,2745,5151.314207
110.0,1947,5166.30947
210.0,2065,5182.874242
300.0,3149,5207.835715
245.0,2379,5231.249448
110.0,1237,5242.406723
135.0,2001,5261.606833
305.0,3831,5285.221991
180.0,1777,5295.381671
455.0,3211,5324.009479
335.0,2601,5342.316279
160.0,1939,5360.664293
255.0,3415,5393.639013
200.0,2913,5422.172154
425.0,3029,5449.487717
105.0,1635,5463.657564
435.0,2883,5491.055803
95.0,1309,5502.764344
310.0,2617,5524.512964
205.0,1903,5542.749607
320.0,3415,5572.257978
190.0,2039,5591.267238
25.0,2005,5608.429899
520.0,2831,5632.029001
430.0,4515,5674.662822
285.0,2571,5691.741915
140.0,2445,5704.647002
340.0,2961,5720.767112
130.0,1527,5730.772272
315.0,2679,5772.178447
180.0,1965,5789.98572
460.0,2823,5807.788308
350.0,3503,5836.855951
390.0,4311,5864.372011
120.0,2537,5882.372459
